"name","line","gyoRefs","runtimeRefs","repoRefs","stringRefs","windowRefs","dataRefs","classification"
"tasksMarkup","1289","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dormProgramIsHolisticTarget","1902","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"nightMatrixStatus","2242","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"subjectsView","2587","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"schoolScheduleTimetableMarkup","2591","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"inputCenterApplyStudentNo","2899","1","1","4","0","0","0","KEEP_OR_MANUAL_REVIEW"
"inputCenterSuggestTarget","2957","1","1","3","0","0","0","KEEP_OR_MANUAL_REVIEW"
"outputProgramCardMarkup","3149","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"subjectsOutputPanel","3180","1","1","3","0","0","0","KEEP_OR_MANUAL_REVIEW"
"studentReportsOutputPanel","3220","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"emptyModule","3459","1","1","5","0","0","0","KEEP_OR_MANUAL_REVIEW"
"issueReportButtonMarkup","3901","1","1","3","0","0","0","KEEP_OR_MANUAL_REVIEW"
"accessControlInlineMarkup","4008","1","1","5","0","0","0","KEEP_OR_MANUAL_REVIEW"
"internalNineGradeReferenceMap","4346","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"admissionCutLimit","4626","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"counselRecordLabel","4780","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"recordAreaPanel","5125","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"autoInferCareerDatesForClass","5292","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dateDistanceDays","5335","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"careerDateEditor","5428","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"extractRecordCore","5524","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"normalizeRecordEnding","5534","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"recordEvidenceSignals","5540","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"sdgsEvidenceForGoal","5697","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"stripProgramDatesFromRecordText","5923","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"programTopTabs","6177","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"formatTaskCompletedAt","6860","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"fixedTeacherTimetableReference","6958","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"homeroomWeekMarkup","7114","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"safeWidget","7168","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dashboardTodayLessonsMarkup","7173","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dashboardSelectedDayMarkup","7201","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"currentUserOvertimeTasks","7222","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"dashboardCompactTasksMarkup","7252","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dashboardCompactNoticesMarkup","7274","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"dashboardStudentStatusMarkup","7799","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"workItemReadByCurrentUser","7955","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"dashboardTopAlertsMarkup","8013","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"completionStatusMarkup","8066","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"openStudentCounselEdit","8261","1","1","2","0","0","0","KEEP_OR_MANUAL_REVIEW"
"todayProgramsMarkup","8394","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"canRevealStudentSensitiveInfo","8434","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"signalRowsForStudent","8440","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"openMealDutyDrawer","8453","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"retryGoogleConnection","9109","1","1","3","0","0","0","KEEP_OR_MANUAL_REVIEW"
"openStudentTimetableDrawer","9205","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"studentActivityOverview","9217","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"sortUniversitiesByPriority","9355","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"admissionPairCompatible","9425","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"studentStatsRankCard","9555","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"sendProgramEmailNotice","10964","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"prepareProgramSmsNotice","10972","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"openProgramAttendanceQr","10977","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"copyProgramRiroNotice","11022","1","1","1","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"copyProgramIndividualNotices","11026","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"copyProgramFamilyLetter","11037","1","1","0","0","0","0","SAFE_DELETE_AFTER_SMOKE"
"uepCompareSelectionHistory","12356","1","1","3","0","0","0","KEEP_OR_MANUAL_REVIEW"
"uepSchoolGrowthGapSummary","12448","1","1","6","0","0","0","KEEP_OR_MANUAL_REVIEW"
"bindSelectionAnalysis","12593","1","1","14","0","0","0","KEEP_OR_MANUAL_REVIEW"
